label,index,nr_pix,rows_with_1,cols_with_1,rows_with_2,cols_with_2,rows_with_3p,cols_with_3p,height,width,aspect_ratio,maxrow,maxcol,connected_areas,eyes,hollowness,img_bdensity
banana,01,62,0,0,7,10,13,11,19,20,1.0526315789473684,7,7,15,2,1.032258064516129,0.1631578947368421
banana,02,68,0,1,11,11,11,10,21,21,1.0,8,7,17,2,1.0294117647058822,0.15419501133786848
banana,03,58,0,0,12,16,8,4,19,19,1.0,7,10,18,1,1.0689655172413792,0.16066481994459833
banana,04,65,0,0,14,14,9,7,22,20,0.9090909090909091,8,13,17,1,0.8769230769230769,0.14772727272727273
banana,05,69,0,0,0,19,14,10,13,28,2.1538461538461537,11,4,14,2,1.4057971014492754,0.18956043956043955
banana,06,58,1,0,16,4,7,11,23,14,0.6086956521739131,6,11,14,1,1.3103448275862069,0.18012422360248448
banana,07,63,0,0,7,9,14,11,20,19,0.95,8,7,15,1,1.7301587301587302,0.16578947368421051
banana,08,80,1,0,9,15,14,11,23,25,1.0869565217391304,9,11,21,1,1.65,0.1391304347826087
banana,09,62,1,0,14,9,7,11,21,19,0.9047619047619048,12,7,17,1,1.6290322580645162,0.15538847117794485
banana,10,54,2,2,8,12,9,7,18,20,1.1111111111111112,7,8,18,1,1.8333333333333333,0.15
banana,11,69,0,1,15,12,9,10,23,22,0.9565217391304348,9,12,21,1,1.8695652173913044,0.13636363636363635
banana,12,94,0,0,10,16,17,17,26,32,1.2307692307692308,9,8,26,1,2.095744680851064,0.11298076923076923
banana,13,73,1,0,12,17,12,9,24,25,1.0416666666666667,11,9,26,1,2.095890410958904,0.12166666666666667
banana,14,71,1,0,13,9,11,12,24,20,0.8333333333333334,6,8,17,1,1.323943661971831,0.14791666666666667
cherry,01,64,5,0,10,9,9,11,23,19,0.8260869565217391,9,6,17,1,3.140625,0.14645308924485126
cherry,02,55,5,0,12,6,7,8,23,13,0.5652173913043478,6,9,16,1,2.4727272727272727,0.18394648829431437
cherry,03,71,5,0,21,7,4,13,29,19,0.6551724137931034,8,7,22,1,3.7183098591549295,0.12885662431941924
cherry,04,56,5,0,8,6,8,10,20,15,0.75,8,7,11,1,2.517857142857143,0.18666666666666668
cherry,05,69,4,0,9,9,11,12,23,20,0.8695652173913043,9,8,18,1,3.318840579710145,0.15
cherry,06,72,5,0,8,5,11,16,23,20,0.8695652173913043,10,6,16,1,2.875,0.1565217391304348
cherry,07,53,1,0,12,2,7,11,19,12,0.631578947368421,6,7,12,1,2.0754716981132075,0.2324561403508772
cherry,08,64,3,0,11,6,10,13,23,18,0.782608695652174,7,7,20,1,2.671875,0.15458937198067632
cherry,09,59,2,0,13,4,7,11,21,14,0.6666666666666666,7,9,12,1,2.5762711864406778,0.20068027210884354
cherry,10,55,3,0,12,7,8,11,22,17,0.7727272727272727,5,6,23,1,3.272727272727273,0.14705882352941177
cherry,11,64,2,0,14,3,8,15,23,17,0.7391304347826086,7,7,17,1,2.921875,0.1636828644501279
cherry,12,77,5,0,10,7,14,15,28,21,0.75,5,9,22,1,3.8701298701298703,0.13095238095238096
cherry,13,62,1,0,12,3,10,15,22,17,0.7727272727272727,9,5,19,1,3.1774193548387095,0.1657754010695187
cherry,14,66,0,0,6,5,13,15,18,19,1.0555555555555556,9,6,14,1,2.378787878787879,0.19298245614035087
envelope,01,121,0,1,6,0,13,31,18,31,1.7222222222222223,23,17,19,2,3.272727272727273,0.2168458781362007
envelope,02,104,0,1,4,0,14,24,17,24,1.411764705882353,25,17,15,2,2.951923076923077,0.2549019607843137
envelope,03,100,0,0,4,0,10,25,13,24,1.8461538461538463,25,14,10,2,2.5,0.32051282051282054
envelope,04,107,0,0,4,0,13,25,16,24,1.5,25,12,14,2,2.878504672897196,0.2786458333333333
envelope,05,118,0,0,3,0,16,28,18,27,1.5,27,15,22,1,1.3305084745762712,0.24279835390946503
envelope,06,104,0,0,3,0,14,26,16,25,1.5625,23,9,22,2,2.8653846153846154,0.26
envelope,07,109,0,0,6,0,14,25,19,24,1.263157894736842,24,19,18,2,3.330275229357798,0.23903508771929824
envelope,08,106,0,0,4,1,13,25,16,25,1.5625,26,17,16,2,2.707547169811321,0.265
envelope,09,100,0,0,4,0,13,23,16,22,1.375,22,17,13,2,2.77,0.2840909090909091
envelope,10,95,0,0,2,0,14,22,15,21,1.4,16,12,11,2,2.1789473684210527,0.30158730158730157
envelope,11,119,0,0,6,0,16,27,21,26,1.2380952380952381,19,22,20,2,3.302521008403361,0.21794871794871795
envelope,12,115,0,0,3,2,15,26,17,27,1.588235294117647,26,18,17,2,2.9130434782608696,0.25054466230936817
envelope,13,106,1,0,1,1,16,24,17,24,1.411764705882353,22,14,16,2,2.6226415094339623,0.25980392156862747
envelope,14,106,0,0,4,0,15,23,18,22,1.2222222222222223,21,19,16,2,2.811320754716981,0.2676767676767677
golfclub,01,82,4,0,15,0,11,14,29,13,0.4482758620689655,7,13,2,2,0.25609756097560976,0.21750663129973474
golfclub,02,74,2,1,12,2,10,17,23,19,0.8260869565217391,9,6,8,1,0.6756756756756757,0.16933638443935928
golfclub,03,61,1,0,11,9,10,11,21,19,0.9047619047619048,5,6,4,1,0.39344262295081966,0.15288220551378445
golfclub,04,75,4,0,8,4,12,17,23,20,0.8695652173913043,8,6,5,2,0.44,0.16304347826086957
golfclub,05,61,0,1,8,15,12,8,19,23,1.2105263157894737,6,5,11,2,0.4918032786885246,0.13958810068649885
golfclub,06,66,1,0,11,11,9,12,20,22,1.1,8,5,6,1,0.3939393939393939,0.15
golfclub,07,86,1,0,11,2,15,16,26,17,0.6538461538461539,9,8,7,1,0.36046511627906974,0.19457013574660634
golfclub,08,61,4,3,10,15,7,8,20,25,1.25,7,4,11,2,0.36065573770491804,0.122
golfclub,09,70,3,1,11,5,9,17,22,22,1.0,10,6,7,1,0.5142857142857142,0.1446280991735537
golfclub,10,69,2,0,18,7,7,15,26,21,0.8076923076923077,7,5,12,2,0.4492753623188406,0.12637362637362637
golfclub,11,79,3,0,17,8,9,18,28,25,0.8928571428571429,7,4,11,1,0.4936708860759494,0.11285714285714285
golfclub,12,79,1,1,15,6,10,19,25,25,1.0,10,5,7,4,0.34177215189873417,0.1264
golfclub,13,69,18,9,6,10,7,10,30,28,0.9333333333333333,8,6,20,1,0.6666666666666666,0.08214285714285714
